Ticker,Morningstar Sustainability Rating,Average Market Cap ($ mil),ROE Last Year (%),Debt/Capital Last Year (%),No. of Holdings in Portfolio,% Assets in Top 10 Holdings,Turnover Ratio (%),Average Manager Tenure (years),Expense Ratio (%),Minimum Initial Purchase ($),Total Assets ($ mil),3-year Annualized Return vs. S&P500,Outperform / Underperform,No-load Funds,Closed to New Investors
FGIUX,2,95510,20.88,50.44,179,37.08,28,10,1.73,0,540,-6.09,0,0,0
GILGX,3,72457,24.81,45.12,628,25.18,29,5,0.56,0,594,2.5599999999999987,1,1,0
LSHUX,5,4115,27.41,19.57,32,89.05,2,14,1.25,1000000,19,-2.6500000000000004,0,1,0
MSGAX,4,1555,-3.06,39.06,134,23.61,40,7,1.49,2500,1676,3.93,1,0,1
URISX,4,53718,28.59,48.99,205,17.28,64,2,0.65,0,2673,-6.65,0,1,0
LMCYX,3,11132,14.38,44.93,77,18.35,69,5,0.73,1000000,1354,-8.21,0,1,0
CHCLX,2,9057,5.06,34.76,100,18.03,80,8,0.96,2500,3680,12.04,1,0,0
DDVCX,3,71963,18.27,47.8,40,31.38,16,11,1.68,1000,10729,-9.95,0,0,0
RPFFX,5,4361,13.03,30.08,55,26.91,19,17,1.46,2000,1794,-2.670000000000001,0,1,0
ESPRX,1,2144,8.29,35.09,129,25.01,39,9,0.84,0,4774,-6.2700000000000005,0,1,1
CVQTX,3,61757,18.4,47.62,96,23.52,80,4,1.12,2000,239,-9.68,0,0,1
NRINX,4,3410,-3.12,49.47,95,27.7,19,11,0.9,0,893,2.7399999999999984,1,1,0
ACLWX,5,22869,11.91,38.81,83,23.04,91,4,0.01,0,1065,10.9,1,1,1
NWCCX,5,254441,28.55,44.35,50,47.13,59,7,1.73,3000,771,6.709999999999997,1,0,0
FFMGX,5,25288,23.51,39.78,119,20.59,83,4,0.0,0,1,11.75,1,1,0
LDFOX,2,64834,22.2,47.85,75,22.34,59,2,0.63,0,1832,-7.0,0,1,0
ELGAX,4,114551,20.33,38.75,36,41.53,22,14,1.12,2000,2234,8.479999999999997,1,0,0
SVFDX,5,60200,25.89,53.57,30,52.88,21,11,1.55,25000,1412,-4.32,0,0,0
CMLAX,4,101581,24.68,48.98,175,23.07,24,10,0.64,250,70768,-4.78,0,0,0
GAGVX,2,179767,27.35,46.21,46,39.03,65,7,1.05,1000,12,2.8999999999999986,1,0,1
TWCCX,3,304076,30.27,42.76,63,52.32,6,11,1.97,2500,19061,10.46,1,0,0
IRVAX,3,138564,15.93,44.87,157,25.36,24,8,0.91,0,869,-7.4700000000000015,0,0,0
ABVAX,3,49754,12.67,45.8,59,33.03,45,5,0.99,2500,387,-11.5,0,0,0
FEAMX,3,190504,32.37,45.53,37,56.46,98,0,2.03,2500,556,-13.16,0,0,0
TDFAX,2,57166,26.27,44.63,40,32.97,45,0,1.06,1000,551,-12.28,0,0,0
TBDCX,4,235919,33.51,41.32,91,44.18,149,14,2.04,1000,330,6.199999999999998,1,0,0
TWMTX,3,207236,27.8,41.25,69,43.64,28,5,0.75,1000,2067,10.57,1,0,0
PWCIX,3,160692,27.36,44.91,84,29.52,35,8,0.47,0,2027,2.8199999999999985,1,1,0
MBGFX,3,241308,25.63,38.89,147,42.18,28,10,1.09,0,4602,5.419999999999997,1,1,0
IRTCX,1,52107,22.33,50.29,75,27.9,47,6,1.2,0,3788,-8.540000000000001,0,0,1
MAGKX,3,3380,-5.33,34.77,155,15.91,56,16,0.81,0,728,6.73,1,1,0
MVCCX,3,13303,6.25,43.82,152,11.35,19,12,1.8,1000,12057,-7.340000000000002,0,0,0
NFECX,3,224021,26.09,41.34,49,46.3,42,3,1.8,2000,1883,6.899999999999999,1,0,0
NGDAX,2,124831,17.12,38.26,73,31.64,49,5,1.07,1000,1750,5.9899999999999975,1,0,0
MRVIX,3,9930,11.55,44.05,83,18.89,47,3,0.99,1000000,44,-10.46,0,1,0
EFCNX,3,42124,15.74,41.75,68,40.42,94,6,1.4,2000,20,10.91,1,1,0
SSCCX,3,2901,8.12,42.43,101,20.47,101,6,2.67,250,7,-4.0600000000000005,0,0,0
REBYX,3,1762,0.09,38.21,992,9.71,132,6,0.97,10000000,1603,-3.070000000000001,0,1,0
ABSZX,2,4284,5.08,41.03,101,15.39,36,8,0.79,2000000,2882,-9.0,0,1,0
JGTUX,3,128578,28.69,43.23,84,37.27,47,10,0.89,0,14589,14.259999999999998,1,1,0
ELGCX,4,114551,20.33,38.75,36,41.53,22,14,1.88,2000,2234,6.850000000000001,1,0,0
LFMGX,1,1948,-15.21,25.26,84,25.0,115,6,1.2,0,258,27.36,1,1,0
SKSIX,3,2066,8.66,37.99,74,20.55,20,0,1.01,100000,344,-8.030000000000001,0,1,0
ACLMX,3,16943,11.86,41.78,96,20.62,59,13,0.01,0,1562,-5.880000000000001,0,1,1
BWNYX,1,6458,12.7,37.18,35,41.49,6,23,1.54,2500,1,-8.3,0,1,0
STRMX,3,10378,10.91,46.91,41,35.51,29,2,0.54,0,76,-6.8500000000000005,0,1,0
GCVAX,3,42444,18.23,42.68,172,18.08,212,9,0.94,1000,371,-9.36,0,0,0
PMVFX,3,11316,2.55,41.96,190,10.63,55,7,0.99,0,235,-14.53,0,1,0
PGIOX,1,92824,16.08,52.34,56,40.43,294,2,1.37,0,731,-5.330000000000001,0,0,0
PSGKX,2,3274,-2.39,34.71,560,8.87,126,5,0.45,5000000,1003,9.44,1,1,0
OMCIX,3,818,6.22,34.28,69,28.2,112,12,1.32,1000000,87,4.0299999999999985,1,1,0
KSCYX,5,2672,26.62,27.96,38,84.32,4,17,1.44,1000000,188,-2.84,0,1,0
DFTPX,3,2483,1.9,38.76,1395,6.32,20,5,0.62,0,11428,-7.940000000000001,0,1,0
FCLKX,1,97606,19.19,50.92,170,38.18,30,4,0.45,0,75,-2.8000000000000007,0,1,0
PQUAX,5,3896,8.29,35.34,54,30.51,89,7,1.23,1000,519,8.45,1,0,0
TOECX,4,23121,12.72,45.43,61,25.55,82,18,2.07,2500,1482,3.809999999999999,1,0,0
JUEZX,4,148814,27.73,46.67,57,40.08,84,6,1.19,0,19434,2.3599999999999994,1,0,0
AFOYX,1,14486,19.45,50.47,32,50.54,22,16,0.75,1000000,56,-6.340000000000002,0,1,0
SSCYX,3,2901,8.12,42.43,101,20.47,101,6,2.08,250,7,-2.930000000000001,0,0,0
MIGMX,4,162582,28.83,42.15,54,42.39,23,8,1.47,0,9996,4.769999999999998,1,0,0
HRAUX,5,24700,8.33,37.08,97,21.92,27,17,0.64,0,7987,7.27,1,1,0
OANMX,2,64126,13.81,49.08,55,32.11,35,14,0.74,1000000,13521,-5.260000000000002,0,1,0
PESAX,3,69056,15.17,43.65,866,19.96,55,12,1.59,0,2384,-7.4300000000000015,0,0,1
FXAIX,3,165677,27.51,45.61,508,26.89,4,6,0.02,0,287097,2.0600000000000005,1,1,0
LMGAX,4,21749,7.15,42.42,100,19.25,27,4,1.16,1000,820,8.779999999999998,1,0,0
AASOX,4,8434,-0.01,32.56,92,33.64,18,6,0.98,0,352,18.35,1,1,0
CUSAX,3,3489,2.4,31.31,88,18.51,91,4,1.16,2000,365,5.8900000000000015,1,1,0
CTASX,3,2980,-3.84,31.86,100,23.45,181,10,1.3,2500,230,16.09,1,0,0
HQIIX,3,99596,19.35,46.06,70,27.81,31,5,0.74,2000,4264,-5.790000000000001,0,1,0
BKMFX,4,44032,24.86,35.74,168,24.85,58,3,0.2,5000000,15,-3.0800000000000014,0,1,0
SGNFX,1,11232,-12.89,36.45,136,24.74,13,22,1.57,2500,84,27.19,1,1,0
SBQUX,4,39243,19.71,42.96,27,40.95,248,4,2.83,1000,6,-11.28,0,0,0
CWMCX,2,117267,20.76,46.39,182,30.64,30,9,1.36,250,138572,-4.790000000000001,0,0,0
RPRCX,5,4361,13.03,30.08,55,26.91,19,17,2.26,2000,1794,-4.380000000000001,0,0,0
GMAPX,2,1680,3.39,37.57,419,7.52,141,9,0.83,0,542,-3.160000000000001,0,1,0
TLVAX,3,21042,19.36,41.11,43,43.47,26,7,1.41,1000,209,-4.010000000000002,0,0,0
COHOX,4,69023,24.31,51.79,29,40.86,27,3,0.81,5000,880,-5.120000000000001,0,1,0
WAMVX,3,746,3.53,24.33,91,18.08,63,18,1.74,2000,346,9.45,1,1,0
LMASX,4,2439,6.79,43.68,92,17.12,49,8,1.83,1000,1225,-5.800000000000002,0,0,0
CCMSX,4,2587,4.69,42.43,40,35.33,40,6,1.0,1000000,97,-9.03,0,1,0
STRAX,3,45162,18.23,51.25,106,19.08,71,7,0.58,0,30,-9.83,0,1,0
MISCX,2,3360,-3.49,35.13,267,11.34,74,6,1.28,10000,782,2.390000000000001,1,1,0
JVSCX,1,3582,15.55,39.25,51,25.77,152,2,2.14,2500,73,-9.57,0,0,0
GACPX,3,227189,26.32,38.04,41,49.21,36,13,0.8,0,193,9.139999999999997,1,1,0
CAMOX,1,73067,15.86,44.66,40,31.14,87,17,0.95,2500,296,-2.5200000000000005,0,1,0
IVORX,3,10985,20.0,49.91,36,29.95,25,6,1.59,0,1221,-4.36,0,0,0
PNORX,4,129886,23.76,48.28,68,35.23,44,3,1.28,0,5880,5.610000000000001,1,0,0
CBMAX,3,7898,11.11,39.59,50,28.61,45,14,1.25,1000,573,-6.490000000000001,0,0,0
WFPAX,3,14716,14.18,43.31,74,27.55,51,9,1.14,1000,10451,-6.07,0,0,0
FACEX,3,334264,32.95,44.05,52,50.22,17,13,0.89,2500,422,7.5,1,1,0
GCVIX,3,42444,18.23,42.68,172,18.08,212,9,0.56,1000000,371,-8.610000000000001,0,1,0
CWMAX,2,117267,20.76,46.39,182,30.64,30,9,0.63,250,138572,-3.2700000000000005,0,0,0
FUNCX,4,191977,35.11,44.99,40,48.13,23,11,1.74,1000,6898,3.9700000000000006,1,0,0
CDDRX,4,120837,28.44,48.58,82,26.47,14,12,0.62,0,29214,-2.45,0,1,0
CRBYX,2,7880,7.8,34.61,114,15.81,101,3,0.77,1000000,5098,3.9,1,1,0
WFSAX,3,3978,-1.7,39.82,128,14.14,41,12,1.32,1000,1499,3.139999999999999,1,0,1
HAGCX,5,24700,8.33,37.08,97,21.92,27,17,1.74,1000,7987,4.889999999999999,1,0,0
TQMVX,2,47313,14.59,49.64,162,18.31,31,5,0.72,2500,22,-8.8,0,1,0
SLADX,3,126607,17.42,35.13,40,52.64,11,17,0.66,10000,1900,-3.940000000000001,0,1,0
WWLAX,2,108647,19.72,39.85,46,28.91,52,6,0.9,1000,166,-5.950000000000001,0,0,0
ICISX,2,2689,2.61,43.44,123,13.39,25,15,0.87,0,163,-6.400000000000001,0,1,0
PEGZX,4,22953,6.93,37.54,73,20.93,58,3,0.74,0,2902,8.8,1,1,0
NYVRX,3,129640,16.03,35.06,40,53.73,11,16,1.18,500000,8552,-5.0200000000000005,0,0,0
APGYX,3,166768,31.44,33.09,53,46.37,32,7,0.6,0,15807,8.629999999999999,1,1,0
TVLIX,3,48648,11.62,46.62,48,30.8,57,7,0.68,500000,318,-5.61,0,1,0
BUISX,3,2833,-8.63,36.64,79,23.6,67,11,0.86,250000,1085,21.07,1,1,0
JHCPX,3,245130,19.5,38.25,58,43.94,47,8,0.74,0,2170,12.86,1,1,0
VSMVX,3,1554,0.14,39.26,470,7.68,46,6,0.08,5000000,912,-4.530000000000001,0,1,0
DSGCX,3,4103,0.08,35.24,370,9.3,105,6,2.05,1000,720,4.629999999999999,1,0,0
VSPVX,3,83268,16.71,47.56,441,18.13,31,4,0.08,5000000,1600,-5.330000000000001,0,1,0
TGUNX,4,43533,24.17,45.27,28,59.34,88,5,1.05,2000,202,7.289999999999999,1,1,0
CDIVX,4,30629,25.35,46.43,78,18.91,244,10,1.3,25000,68,-7.37,0,1,0
COVAX,2,2692,2.63,43.46,124,13.42,27,18,1.28,2000,1295,-6.880000000000001,0,0,0
HMDYX,3,7715,7.54,40.51,100,19.31,45,11,0.79,250000,15731,3.140000000000001,1,1,0
LMREX,5,15198,11.03,46.84,67,23.72,31,8,1.45,0,2084,-2.0500000000000007,0,0,0
NBGEX,5,6324,22.34,29.3,104,21.86,11,18,1.09,0,12281,2.91,1,1,0
VFGCX,4,139095,18.8,31.9,32,47.68,39,17,2.1,2500,17,3.4000000000000004,1,0,0
LMCCX,3,11132,14.38,44.93,77,18.35,69,5,1.73,1000,1354,-10.24,0,0,0
TEGIX,4,23121,12.72,45.43,61,25.55,82,18,0.94,500000,1482,6.2399999999999975,1,1,0
FCVAX,4,2613,7.21,41.03,98,19.68,109,4,1.2,0,2369,-6.080000000000001,0,0,0
GSLIX,3,88920,16.01,45.96,85,23.48,64,2,0.76,1000000,440,-6.5600000000000005,0,1,0
DHLCX,3,84910,16.44,45.86,52,31.69,22,12,1.72,2500,8302,-5.91,0,0,1
PMPRX,3,12080,9.74,40.77,717,13.97,66,12,1.2,0,2393,-6.2200000000000015,0,1,0
CHTTX,5,10046,11.0,36.8,44,35.28,50,10,1.14,2000,514,-12.49,0,1,0
GGQPX,4,23307,11.29,44.24,91,21.52,65,12,0.9,0,1429,9.96,1,1,0
MSEIX,3,3715,1.4,33.01,359,14.31,96,8,1.11,100000,266,7.93,1,1,0
JGAVX,3,89809,18.64,46.29,96,21.31,22,7,0.94,0,1144,-6.050000000000002,0,1,0
MLULX,3,16957,11.84,41.79,95,20.83,74,5,1.1,0,119,-8.440000000000001,0,1,0
ECSMX,4,3792,8.72,32.87,82,22.4,54,6,1.96,1000,114,-2.500000000000001,0,0,0
NDXKX,3,381962,31.94,41.09,106,52.45,12,14,1.0,1000,1046,12.81,1,1,0
HGOIX,1,89863,16.38,44.18,73,40.21,118,13,0.83,2000,7515,14.5,1,1,0
FISUX,3,3361,7.53,37.96,111,19.7,129,1,0.88,0,352,-11.25,0,1,0
RESGX,5,41533,25.41,41.41,84,21.88,88,5,0.85,0,28,-3.62,0,1,0
MNNCX,2,67030,27.97,44.85,79,28.49,100,5,2.18,2500,399,-6.920000000000003,0,0,0
PNECX,3,71732,23.93,48.67,73,31.55,139,10,1.79,1000,859,-11.62,0,0,0
FLCGX,2,6085,12.3,42.49,85,27.17,82,11,1.53,2500,39,-12.37,0,1,0
EKJAX,2,98404,14.53,36.22,79,39.37,45,8,1.1,1000,3269,8.7,1,0,0
HNASX,2,228065,21.11,36.03,63,48.89,29,4,0.93,500,324,8.169999999999998,1,1,0
LRSTX,3,2302,8.29,41.39,75,20.79,95,2,0.93,0,674,-8.5,0,1,0
ABSIX,2,4284,5.08,41.03,101,15.39,36,8,0.88,2000000,2882,-9.19,0,1,0
UBVTX,4,2796,2.17,48.95,87,29.14,44,8,1.3,0,5539,-8.430000000000001,0,1,0
IVOCX,3,10985,20.0,49.91,36,29.95,25,6,2.02,750,1221,-5.24,0,0,0
WFSMX,4,3629,5.9,40.92,76,21.7,41,2,1.33,1000,58,-6.5600000000000005,0,0,0
LRSSX,3,2302,8.29,41.39,75,20.79,95,2,1.2,0,674,-9.03,0,1,0
SVOAX,4,39316,23.3,45.24,380,22.18,77,11,0.9,100000,1756,-6.370000000000001,0,1,0
GGOCX,4,23307,11.29,44.24,91,21.52,65,12,2.0,1000,1429,6.91,1,0,0
EQNSX,4,120961,25.81,45.21,90,33.97,42,6,1.14,0,243,-4.69,0,0,0
GEQAX,4,120837,28.44,48.58,82,26.47,14,12,0.94,2000,29214,-3.120000000000001,0,0,1
WFHHX,3,14716,14.18,43.31,74,27.55,51,9,1.39,0,10451,-6.58,0,1,0
IPETX,3,53629,7.27,47.03,79,25.56,95,6,1.04,0,987,-6.570000000000001,0,0,0
FTXNX,3,4140,-2.92,41.97,53,24.83,128,3,1.25,1000,91,11.32,1,1,0
DFSTX,3,2157,7.19,36.76,1988,3.97,3,5,0.36,0,16407,-3.940000000000001,0,1,0
FOSCX,4,2543,6.98,31.28,63,23.81,33,17,1.21,1000,906,-7.380000000000001,0,1,0
NEIMX,4,113485,22.21,38.57,44,32.62,36,18,1.48,2500,35,-10.62,0,1,0
MSKLX,3,22663,-15.1,37.12,55,44.11,65,16,1.49,1000,5424,43.75999999999999,1,0,1
IWIRX,5,164313,24.77,36.2,32,37.02,16,10,1.24,5000,208,2.9999999999999982,1,1,0
ATIAX,5,3271,15.26,59.77,27,59.42,102,0,1.28,1000,286,-6.280000000000001,0,0,0
MIGNX,4,162582,28.83,42.15,54,42.39,23,8,0.38,0,9996,7.149999999999999,1,1,0
TETIX,3,897,7.82,32.86,66,35.83,25,18,1.08,250000,68,-8.46,0,1,0
MDVNX,2,74343,21.71,48.45,247,23.98,52,9,1.28,0,381,-8.950000000000003,0,0,0
GQURX,4,201682,31.06,41.83,3,98.98,7,3,0.05,0,286,3.3499999999999983,1,1,0
NSCFX,3,2632,5.69,34.41,58,28.72,43,3,0.91,1000000,236,-9.43,0,1,0
PUMYX,5,3896,8.29,35.34,54,30.51,89,7,1.08,2000000,519,8.929999999999996,1,1,0
IYSAX,4,4089,0.36,41.94,64,29.91,138,6,1.38,750,677,-4.960000000000001,0,0,0
HDGFX,4,127421,20.81,46.77,75,29.96,28,6,0.64,1000000,10896,-3.21,0,1,0
PQMZX,2,54474,25.11,41.14,235,30.2,101,3,1.69,0,24,-11.36,0,1,0
JVAYX,3,42966,12.47,46.38,121,20.16,29,11,0.64,15000000,9615,-7.4300000000000015,0,1,0
DHLRX,3,84910,16.44,45.86,52,31.69,22,12,0.68,2500,8302,-3.7600000000000007,0,1,0
WLGYX,4,239768,33.74,41.39,43,50.72,33,4,1.01,0,5668,7.369999999999997,1,1,0
CVACX,3,203131,22.95,44.66,59,37.18,136,4,1.9,2500,45,-3.7200000000000006,0,0,0
DWOCX,2,189215,24.91,39.71,53,46.16,55,2,1.78,1000,2198,8.479999999999997,1,0,0
GTLIX,5,55989,25.14,42.32,90,17.9,66,12,0.67,10000000,1359,-5.07,0,1,0
TRLGX,2,252665,20.24,36.92,67,48.46,27,4,0.56,1000000,22204,9.59,1,1,0
SSGFX,3,229800,33.31,46.92,35,54.8,10,4,1.2,1000,60,7.18,1,1,0
JTUAX,2,1648,-1.44,40.14,482,8.52,52,3,1.22,1000,1051,-2.420000000000001,0,0,0
ARTSX,4,7157,-6.83,33.12,62,38.44,41,12,1.2,1000,4000,19.46,1,1,0
STCZX,4,297428,31.21,46.27,61,51.14,15,12,0.9,2500000,128,8.02,1,1,0
HSMTX,3,1844,2.79,40.27,63,19.35,62,2,0.9,0,106,-5.800000000000002,0,1,0
HULIX,2,97897,30.17,52.58,31,80.9,20,14,1.35,5000,31,-6.050000000000002,0,1,0
VRVIX,3,63285,13.06,44.71,858,16.57,24,8,0.07,5000000,4796,-5.6800000000000015,0,1,0
ATHWX,5,22882,11.91,38.86,82,23.19,85,4,0.97,2500,5979,8.41,1,0,0
BADIX,3,70414,26.43,53.55,77,26.79,46,8,0.9,1000,276,-6.5600000000000005,0,0,0
MAVFX,4,144440,23.88,47.87,33,44.4,28,25,0.99,1000,56,-4.2200000000000015,0,1,0
FIDFX,3,9798,16.28,37.42,87,37.19,83,4,0.32,0,1246,-9.79,0,1,0
SZCCX,4,1751,7.01,42.89,96,24.53,15,5,1.84,1000,351,-5.36,0,0,0
VSORX,3,2696,5.5,31.18,113,15.2,37,14,0.86,0,6198,-4.110000000000001,0,1,1
RGAGX,2,144040,16.32,41.62,392,35.89,28,10,0.3,250,263828,7.3599999999999985,1,1,0
RPMGX,3,18539,11.72,43.55,139,20.33,23,29,0.74,2500,38446,3.85,1,1,1
BMSBX,4,15050,13.58,40.47,146,16.5,81,4,1.59,1000,389,-5.580000000000001,0,0,0
WFDSX,2,12355,3.33,33.41,75,21.8,53,10,0.88,1000000,3469,14.670000000000002,1,1,0
LMOIX,3,4898,-0.12,39.97,90,25.79,21,14,0.78,1000000,6210,13.659999999999995,1,1,1
IDAIX,3,44692,23.24,47.12,66,17.58,40,3,0.5,0,410,-2.6100000000000008,0,1,0
AEYCX,3,94926,26.05,49.45,188,24.36,113,2,1.67,2500,2444,-3.75,0,0,0
FEIFX,2,137844,20.91,50.01,77,29.77,23,10,0.6,100000,2805,-4.45,0,1,0
BRUMX,3,68384,17.68,46.17,131,20.55,45,5,0.49,0,234,-7.36,0,1,0
VSSLX,3,1673,0.93,40.87,519,8.45,102,3,0.74,15000000,452,-2.7200000000000006,0,1,0
ASGTX,4,3382,1.92,32.35,49,34.88,69,5,1.4,1000,223,4.249999999999998,1,0,0
OFAFX,4,45534,16.83,47.28,78,19.38,48,19,1.15,1000,649,-3.5700000000000003,0,1,0
VTSMX,2,100020,22.61,44.62,3634,22.34,4,15,0.14,3000,1089792,2.4899999999999984,1,1,1
CDOYX,2,86820,21.88,51.22,82,31.4,47,2,0.65,1000000,2232,-6.150000000000001,0,1,0
SSVRX,2,3587,7.48,39.69,57,28.48,17,5,1.56,0,500,-7.41,0,0,0
JAGRX,3,194253,28.0,43.04,81,49.44,38,1,0.59,0,647,7.52,1,1,0
FLUTX,3,55606,10.07,48.73,127,20.85,68,7,1.23,0,468,-7.800000000000002,0,0,0
AGRDX,4,280056,28.23,40.35,82,53.59,33,10,0.62,0,11932,9.099999999999998,1,1,0
WISGX,3,4577,-1.22,32.94,82,21.78,28,7,0.98,250000,137,16.599999999999998,1,1,0
IYVLX,3,48303,12.48,47.31,39,33.44,68,18,1.55,0,1222,-8.440000000000001,0,0,0
BMVGX,3,9930,11.55,44.05,83,18.89,47,3,0.84,0,44,-10.14,0,1,0
PJIAX,4,108824,16.72,45.78,36,40.12,128,1,1.15,1000,205,-11.37,0,0,0
PGIEX,1,92824,16.08,52.34,56,40.43,294,2,1.87,0,731,-6.370000000000001,0,0,0
OPMCX,4,17004,13.86,41.03,82,21.04,27,8,1.84,1000,2755,-5.420000000000001,0,0,0
DTLVX,2,45979,12.72,45.93,441,30.78,48,4,1.26,2500,193,-10.21,0,1,0
HIASX,3,4550,-4.01,34.37,120,16.66,79,8,0.79,0,644,15.61,1,1,1
TGFRX,1,57122,34.58,43.92,29,71.38,5,22,2.45,2000,18,2.6999999999999997,1,1,0
YCGEX,5,122089,32.21,47.5,60,42.93,6,8,1.19,2500,419,2.1899999999999995,1,1,0
HDCEX,4,83547,27.72,51.36,51,28.98,394,1,2.0,1000,61,-9.06,0,0,0
PQJCX,2,3501,0.29,42.56,132,16.0,54,4,0.95,0,30,4.43,1,1,0
LGORX,4,21749,7.15,42.42,100,19.25,27,4,1.41,0,820,8.239999999999998,1,0,0
IVPSX,3,3049,4.04,41.14,159,12.03,125,12,1.14,0,466,-5.29,0,1,0
EICCX,3,44744,14.32,45.3,41,34.51,36,10,1.9,2500,149,-8.360000000000001,0,0,0
LVOVX,2,6988,15.59,39.31,74,19.9,36,2,0.83,0,1621,-3.0400000000000014,0,1,0
RTSAX,4,3887,8.27,39.15,1099,6.3,81,6,1.48,0,1144,-2.8000000000000007,0,0,0
BDFUX,2,3077,-5.78,32.18,79,23.83,43,7,1.08,5000000,1320,17.179999999999996,1,1,0
BIOIX,2,67411,3.78,32.67,78,33.37,43,15,1.08,1000000,1409,28.31,1,1,0
FDGTX,4,70349,19.72,48.03,129,24.26,113,1,1.05,0,1031,-6.130000000000001,0,0,0
GABAX,2,23001,17.28,44.6,439,22.68,4,10,1.36,1000,2103,-5.350000000000001,0,1,0
PFMDX,4,4904,0.98,42.07,106,14.53,36,4,0.98,0,323,-5.15,0,1,0
JIVZX,3,42379,15.56,50.56,143,19.43,79,5,1.09,0,248,-8.700000000000001,0,0,0
HOOSX,3,3219,5.67,36.87,116,14.54,53,3,1.23,0,301,-2.490000000000002,0,1,0
OSGIX,4,24017,12.22,40.57,110,16.57,63,11,1.24,1000,8134,11.330000000000002,1,0,0
PNVRX,3,3571,11.05,36.95,150,21.61,126,9,1.42,0,562,-14.02,0,0,0
BALGX,3,152560,33.67,40.25,65,44.02,71,6,0.79,1000,483,4.48,1,0,0
QUAZX,3,4555,-3.25,27.6,114,16.1,75,11,0.81,2000000,4966,17.69,1,1,0
OTCFX,3,4578,3.75,34.51,273,12.21,24,4,0.88,2500,11674,6.100000000000001,1,1,1
NDVBX,3,3101,1.05,44.04,111,15.25,44,5,1.97,1000,3487,-5.73,0,0,1
WSCVX,1,941,6.27,28.83,62,24.59,57,5,1.21,2500,175,-10.43,0,1,0
WMLIX,3,127773,24.47,44.96,993,23.98,26,7,0.25,100000,572,2.26,1,1,0
PSVKX,3,1441,1.75,42.61,329,9.06,53,6,0.89,0,664,-11.73,0,1,0
MCRFX,3,16769,6.14,45.33,98,20.75,25,4,1.85,1000,381,-6.3400000000000025,0,0,0
PLVIX,3,69056,15.17,43.65,866,19.96,55,12,0.72,0,2300,-5.630000000000001,0,1,0
AMANX,1,102785,37.44,51.38,37,46.91,0,4,1.06,250,1457,-2.0900000000000016,0,1,0
REAYX,3,90894,20.07,45.23,262,21.16,33,3,0.68,10000000,237,-2.4800000000000004,0,1,0
SBVLX,3,2139,8.64,43.87,75,21.23,43,2,2.05,1000,113,-14.47,0,0,0
GMCUX,2,6090,7.49,42.65,197,10.2,76,7,0.84,5000000,135,-5.830000000000001,0,1,0
TDFIX,2,57166,26.27,44.63,40,32.97,45,0,0.88,1000000,563,-11.9,0,1,0
LUSAX,3,1855,4.67,35.38,373,6.56,51,2,1.4,1000,195,-6.26,0,0,0
HIGCX,5,153772,29.2,48.21,42,36.09,41,6,1.73,1000,862,-5.6800000000000015,0,0,0
VLCRX,3,53629,7.27,47.03,79,25.56,95,6,0.64,0,987,-5.73,0,1,0
VRMGX,3,17390,11.84,40.67,53,33.23,14,5,0.83,0,3300,21.23,1,1,0
SSSIX,1,2989,6.76,52.68,27,51.45,25,17,1.0,100000,259,-4.870000000000001,0,1,0
FDNRX,2,100371,12.43,36.66,170,28.08,14,35,1.09,1000,22546,15.64,1,0,0
KCGSX,4,170183,31.93,45.28,69,42.23,93,5,1.0,0,111,5.509999999999998,1,1,0
RUDAX,3,2505,2.26,34.47,116,17.65,80,12,1.42,1000,186,-5.300000000000002,0,0,0
BUFSX,3,2833,-8.63,36.64,79,23.6,67,11,1.01,2500,1085,20.34,1,1,0
TRVHX,2,12866,7.32,44.71,95,17.82,143,1,0.53,0,2047,-9.84,0,1,0
VSSRX,3,1673,0.93,40.87,519,8.45,102,3,1.74,1000,452,-4.800000000000002,0,0,0
TLVIX,3,73827,19.91,46.55,88,29.18,19,8,0.54,2000,1302,-6.820000000000001,0,1,0
OFSAX,3,3207,5.34,39.48,37,35.96,45,14,1.6,1000,106,-2.1899999999999995,0,0,0
ODINX,3,5248,5.78,34.68,115,20.15,76,11,1.32,0,4336,12.989999999999998,1,0,1
PGOFX,4,19456,5.51,38.93,125,18.1,53,8,1.03,1000,2790,7.579999999999997,1,0,0
WASMX,5,8511,21.36,38.82,77,20.01,30,4,1.0,100000,67,-3.1300000000000012,0,1,0
ADECX,3,78571,15.06,45.17,71,26.29,15,8,1.77,2000,2446,-7.83,0,0,0
PMFNX,3,6301,10.63,40.46,404,9.38,24,3,0.91,0,1246,-3.6000000000000005,0,0,1
MCVCX,2,12508,6.58,44.08,67,23.43,82,4,1.91,1000,1589,-7.6,0,0,0
FVFRX,2,2622,6.12,35.23,89,25.89,67,5,1.32,1000,3107,-6.120000000000001,0,0,0
IWEDX,3,53678,7.28,47.02,75,25.55,154,6,0.85,1000,702,-6.1800000000000015,0,1,0
FVLZX,3,7908,3.21,54.75,222,10.95,91,11,0.72,0,88,-4.86,0,1,0
ICAFX,2,165629,22.23,45.93,207,34.18,31,14,0.39,250,111362,-2.4300000000000006,0,1,0
AALRX,2,57742,12.54,48.12,168,21.82,67,12,0.59,0,4242,-7.090000000000002,0,1,0
PJFCX,3,249617,19.38,38.83,60,44.83,49,12,1.68,1000,8175,10.7,1,0,0
